feature_name	feature_importance
PBG	0.1291290644922168
FPG	0.09812802920421504
HOMA.B	0.09321895137028696
exRNA000673	0.08838317669993558
RBC	0.06886713391255664
GPX3	0.05991583561705614
APOA2	0.04965737057914948
MASP2	0.047853209858419926
Age	0.042803194143229986
CLU	0.04266127943149823
exRNA000005	0.04083195480503939
FGG	0.039785903001507
exRNA000183	0.026902372000334445
RACK1	0.026694013588230283
exRNA000003	0.026539493702304195
APOC2	0.025106945870762135
USO1	0.02363491507653878
FINS	0.022890610785047796
PON1	0.020376379847097927
FGB	0.020123229595483044
HBA1C	0.018073773360503764
GNA13	0.01670620735655803
A1BG	0.01616046035960079
SERPINA7	0.015259340351537698
CAMP	0.013660873425114666
HDLC	0.012885880205412797
exRNA000165	0.01139099799964645
exRNA000077	0.011245606416984088
APOH	0.01088878544439125
HB	0.010177120129651062
LYZ	0.009819472577654953
CFHR1	0.00978936166832067
STXBP5	0.009120125805876943
SCRIB	0.008210976018762245
exRNA000130	0.00816364697239498
exRNA000067	0.005965757900753117
BUN	0.005326255457443403
exRNA000061	0.005101414116615471
exRNA000091	0.004745497814433637
APOC3	0.004134127495502295
FBLN1	0.004063548545300227
CPN1	0.003644873646287728
FGA	0.003421333106422737
EGFR	0.0025341672184457592
PIGR	0.001934491516154136
GSN	0.0009383476843601219
RPS3	3.6009141449541764e-05
TUBA1B	0.0
TUBA1C	0.0
TUBA3C	0.0
TUBA1A	0.0
TUBA3D	0.0
TUBA4A	0.0
exRNA000348	0.0
TUBA8	0.0
cg19076985	0.0
VASP	0.0
VTN	0.0
TTC37	0.0
YWHAH	0.0
cg21055197	0.0
cg17901584	0.0
YWHAQ	0.0
ZFYVE19	0.0
exRNA000004	0.0
cg17722508	0.0
YWHAG	0.0
TF	0.0
TMEM256	0.0
TIMM44	0.0
RMC1	0.0
RPIA	0.0
S100A8	0.0
cg00827581	0.0
S100A9	0.0
SAA1	0.0
SCIN	0.0
SERPINA3	0.0
SERPINA6	0.0
cg05484949	0.0
cg08726900	0.0
SERPINC1	0.0
SFN	0.0
SHBG	0.0
SLC35B2	0.0
cg27352622	0.0
SLC4A2	0.0
SPG11	0.0
cg03629335	0.0
SYTL1	0.0
TAGLN	0.0
cg11078090	0.0
exRNA000016	0.0
exRNA000008	0.0
exRNA000089	0.0
exRNA000822	0.0
exRNA000098	0.0
exRNA000110	0.0
exRNA000760	0.0
exRNA000139	0.0
exRNA000145	0.0
exRNA000161	0.0
exRNA000565	0.0
exRNA000164	0.0
exRNA000561	0.0
exRNA000172	0.0
exRNA000173	0.0
exRNA000408	0.0
exRNA000211	0.0
exRNA000226	0.0
exRNA000250	0.0
exRNA000251	0.0
exRNA000290	0.0
exRNA000311	0.0
exRNA000312	0.0
exRNA000317	0.0
exRNA000394	0.0
exRNA000326	0.0
exRNA000097	0.0
exRNA000084	0.0
exRNA000009	0.0
exRNA000841	0.0
exRNA000015	0.0
exRNA000344	0.0
exRNA000017	0.0
exRNA000027	0.0
exRNA000028	0.0
exRNA000029	0.0
exRNA000035	0.0
exRNA000036	0.0
exRNA000040	0.0
cg06500161	0.0
exRNA000042	0.0
exRNA000043	0.0
exRNA000044	0.0
exRNA000047	0.0
exRNA000050	0.0
cg03767807	0.0
exRNA000053	0.0
exRNA000056	0.0
exRNA000058	0.0
exRNA000059	0.0
cg00574958	0.0
exRNA000060	0.0
exRNA000066	0.0
RCN1	0.0
NAP1L1	0.0
PZP	0.0
APOE	0.0
AGT	0.0
AHSG	0.0
AKR1A1	0.0
AKR1B1	0.0
ALDOB	0.0
AMPD3	0.0
APCS	0.0
APOA1	0.0
APOA4	0.0
APOB	0.0
APOC1	0.0
APOD	0.0
APOF	0.0
PTPRG	0.0
APOM	0.0
ARID1A	0.0
C1QB	0.0
C2	0.0
C3	0.0
C4BPA	0.0
C8B	0.0
C8G	0.0
C9	0.0
CD163	0.0
CELA3A	0.0
CFD	0.0
AFM	0.0
ADIPOQ	0.0
ACACB	0.0
ACACA	0.0
HOMA.IR	0.0
TG	0.0
TC	0.0
LDLC	0.0
FFA	0.0
ALT	0.0
AST	0.0
TBIL	0.0
SCR	0.0
UCR	0.0
UMA	0.0
UMACRR	0.0
CKMB	0.0
HSCRP	0.0
PLT	0.0
HCT	0.0
WBC	0.0
BMI	0.0
WACC	0.0
WEIGHT	0.0
DBP	0.0
SBP	0.0
Sex	0.0
Dose	0.0
A2M	0.0
CFH	0.0
CFHR2	0.0
CFHR3	0.0
IGFBP2	0.0
IGHV4.39	0.0
IGLV3.1	0.0
IGLV3.19	0.0
ITIH4	0.0
KNG1	0.0
L2HGDH	0.0
LPA	0.0
LTF	0.0
MAN2A1	0.0
MASP1	0.0
METTL18	0.0
MFGE8	0.0
MNDA	0.0
MX1	0.0
NSF	0.0
NXF1	0.0
ORM1	0.0
PCBP2	0.0
PCYOX1	0.0
PGLYRP2	0.0
PI16	0.0
PPP1R9B	0.0
PRB3	0.0
PRG4	0.0
PRSS1	0.0
IGHV3.72	0.0
HSPG2	0.0
CGREF1	0.0
HSPA9	0.0
CHL1	0.0
CLEC3B	0.0
CP	0.0
CPB1	0.0
CPB2	0.0
CRP	0.0
EPCAM	0.0
F10	0.0
F13A1	0.0
FCGBP	0.0
FCGR3A	0.0
FCN3	0.0
FETUB	0.0
FUBP3	0.0
G6PD	0.0
GGT1	0.0
GIT1	0.0
GMPS	0.0
GSTM1	0.0
GSTM2	0.0
GSTM4	0.0
HABP2	0.0
HBB	0.0
HBZ	0.0
HDHD2	0.0
cg14153852	0.0
