feature_name	feature_importance
MS006	0.9523285
HOMA.B	0.4764817
PBG	0.42155397
RBC	0.41165483
GPX3	0.37545812
exRNA000145	0.32612613
MP0151	0.29601765
LYZ	0.27626806
MP0009	0.27197987
PON1	0.26292065
exRNA000673	0.2538678
exRNA000067	0.248876
APOA2	0.2453499
GNA13	0.2350666
TIMM44	0.21554077
cg19076985	0.20402212
MP0128	0.17956321
CKMB	0.17516518
MP0050	0.17323248
MP0124	0.17242558
MP0052	0.172022
ARID1A	0.16983798
CHL1	0.16894086
ORM1	0.16878904
NXF1	0.16669959
RACK1	0.16520762
exRNA000098	0.16482452
MP0113	0.1557591
IGFBP2	0.15261035
MS026	0.14999004
MP0203	0.14976373
MP0174	0.13879186
exRNA000077	0.13526346
FBLN1	0.12994576
MP0033	0.12039068
YWHAG	0.11815027
CLU	0.11420373
MASP2	0.112970546
cg03767807	0.11099771
TF	0.11078723
C8G	0.10806069
exRNA000047	0.10750004
ALDOB	0.10632034
MP0082	0.10520036
MP0080	0.09682067
Age	0.09397755
USO1	0.092833236
YWHAH	0.08989157
IGHV3.72	0.08943885
MP0099	0.0893854
exRNA000053	0.08657324
MP0086	0.08379373
WBC	0.08030051
A2M	0.07798877
CFHR1	0.07676377
HDLC	0.07606502
MP0030	0.07357972
exRNA000003	0.07303738
MP0042	0.071401425
FPG	0.07046999
PIGR	0.06925772
SHBG	0.0680704
cg11078090	0.06592453
MP0085	0.065214604
MP0142	0.064021215
exRNA000009	0.06293649
exRNA000005	0.06157576
GGT1	0.060582016
PLT	0.06022405
HBZ	0.05993103
MP0193	0.059781093
MP0077	0.059736818
exRNA000348	0.059673958
ITIH4	0.059329152
MP0005	0.058706634
SERPINA7	0.058689546
exRNA000211	0.058194492
MP0164	0.05741534
MP0115	0.05741295
SAA1	0.056038193
exRNA000015	0.054020118
FGG	0.053412493
CPN1	0.053069334
C1QB	0.052412372
exRNA000029	0.052325707
KNG1	0.05087437
HSPG2	0.04977263
FETUB	0.04960579
APOC2	0.049521804
exRNA000312	0.049115915
exRNA000110	0.04899758
ML017	0.04857969
MP0021	0.047975138
VASP	0.04748355
SERPINA3	0.047306225
MP0018	0.047215022
PRSS1	0.047195952
MP0012	0.046629455
EPCAM	0.046600316
IGLV3.19	0.046342205
MP0141	0.04574711
cg06500161	0.045064982
HABP2	0.04501763
CFH	0.044437878
MP0065	0.043743603
MP0045	0.043735642
SYTL1	0.043598574
MP0100	0.043192178
MP0046	0.043182284
HDHD2	0.042323586
exRNA000044	0.042306546
MS001	0.041740537
GSTM4	0.04118167
exRNA000017	0.041075304
exRNA000043	0.040682796
exRNA000050	0.040514912
MP0034	0.039453823
SFN	0.038961176
APOB	0.03864413
TUBA8	0.038154624
MS015	0.037818752
exRNA000394	0.03552593
exRNA000311	0.035506546
MAN2A1	0.035280965
MS016	0.034686256
APOM	0.034476887
MP0140	0.034203894
MP0175	0.033911332
cg27352622	0.03349132
APOD	0.03253893
exRNA000016	0.032108758
exRNA000036	0.031021329
PPP1R9B	0.030302918
APOA1	0.030017667
MP0053	0.029527277
SLC4A2	0.029408557
MP0150	0.027605582
exRNA000326	0.027401
exRNA000172	0.027220977
MS017	0.027151898
C9	0.026982287
MP0074	0.026835475
GIT1	0.02638462
MP0038	0.025209023
HBB	0.024748761
TAGLN	0.022867452
GSTM2	0.022151928
NSF	0.02039515
MP0041	0.018736225
MP0017	0.018215945
exRNA000091	0.015140612
MP0078	0.012963177
MASP1	0.012581727
exRNA000056	0.0
L2HGDH	0.0
NAP1L1	0.0
exRNA000042	0.0
exRNA000408	0.0
exRNA000058	0.0
exRNA000344	0.0
cg08726900	0.0
cg05484949	0.0
PCBP2	0.0
PCYOX1	0.0
exRNA000317	0.0
PGLYRP2	0.0
exRNA000059	0.0
PI16	0.0
exRNA000290	0.0
cg00827581	0.0
exRNA000561	0.0
MX1	0.0
LPA	0.0
MNDA	0.0
cg21055197	0.0
LTF	0.0
cg17901584	0.0
cg17722508	0.0
cg00574958	0.0
cg03629335	0.0
exRNA000841	0.0
exRNA000035	0.0
exRNA000250	0.0
exRNA000822	0.0
exRNA000760	0.0
METTL18	0.0
exRNA000565	0.0
MFGE8	0.0
exRNA000040	0.0
exRNA000251	0.0
TUBA4A	0.0
exRNA000028	0.0
exRNA000084	0.0
SERPINA6	0.0
exRNA000164	0.0
SERPINC1	0.0
YWHAQ	0.0
exRNA000161	0.0
SLC35B2	0.0
exRNA000089	0.0
SPG11	0.0
STXBP5	0.0
VTN	0.0
exRNA000139	0.0
exRNA000130	0.0
TMEM256	0.0
TTC37	0.0
exRNA000097	0.0
TUBA1A	0.0
TUBA1B	0.0
TUBA1C	0.0
TUBA3C	0.0
ZFYVE19	0.0
SCRIB	0.0
PRB3	0.0
SCIN	0.0
PRG4	0.0
exRNA000226	0.0
TUBA3D	0.0
exRNA000183	0.0
PTPRG	0.0
PZP	0.0
exRNA000173	0.0
RCN1	0.0
exRNA000060	0.0
exRNA000061	0.0
RMC1	0.0
RPIA	0.0
RPS3	0.0
exRNA000066	0.0
S100A8	0.0
S100A9	0.0
exRNA000008	0.0
exRNA000165	0.0
exRNA000004	0.0
exRNA000027	0.0
HBA1C	0.0
IGLV3.1	0.0
ML015	0.0
MP0112	0.0
MP0106	0.0
MP0105	0.0
MP0101	0.0
MP0098	0.0
MP0096	0.0
MP0084	0.0
MP0076	0.0
MP0073	0.0
MP0066	0.0
MP0062	0.0
MP0058	0.0
MP0054	0.0
MP0051	0.0
MP0047	0.0
MP0116	0.0
MP0117	0.0
MP0118	0.0
MP0159	0.0
ML013	0.0
ML012	0.0
ML011	0.0
ML010	0.0
ML018	0.0
ML006	0.0
MP0156	0.0
MP0122	0.0
MP0154	0.0
MP0135	0.0
MP0134	0.0
MP0132	0.0
MP0127	0.0
MP0126	0.0
MP0044	0.0
MP0035	0.0
MP0027	0.0
AST	0.0
UMA	0.0
UCR	0.0
SCR	0.0
EGFR	0.0
BUN	0.0
TBIL	0.0
ALT	0.0
HSCRP	0.0
FFA	0.0
LDLC	0.0
TC	0.0
TG	0.0
HOMA.IR	0.0
FINS	0.0
UMACRR	0.0
HB	0.0
MP0025	0.0
MP0006	0.0
MP0024	0.0
MP0023	0.0
MP0022	0.0
MP0019	0.0
MP0015	0.0
MP0013	0.0
Dose	0.0
HCT	0.0
Sex	0.0
SBP	0.0
DBP	0.0
WEIGHT	0.0
WACC	0.0
BMI	0.0
ML014	0.0
ML016	0.0
IGHV4.39	0.0
ML019	0.0
CGREF1	0.0
CFHR3	0.0
CFHR2	0.0
CFD	0.0
CELA3A	0.0
CD163	0.0
CAMP	0.0
C8B	0.0
C4BPA	0.0
C3	0.0
C2	0.0
APOH	0.0
APOF	0.0
APOE	0.0
APOC3	0.0
CLEC3B	0.0
CP	0.0
CPB1	0.0
FGB	0.0
HSPA9	0.0
GSTM1	0.0
GSN	0.0
GMPS	0.0
G6PD	0.0
FUBP3	0.0
FGA	0.0
CPB2	0.0
FCN3	0.0
FCGR3A	0.0
FCGBP	0.0
F13A1	0.0
F10	0.0
CRP	0.0
APOC1	0.0
APOA4	0.0
APCS	0.0
MS004	0.0
MS011	0.0
MS010	0.0
MS009	0.0
MS008	0.0
MS007	0.0
MS005	0.0
MS002	0.0
MS014	0.0
MS030	0.0
MS025	0.0
MS022	0.0
MS020	0.0
MS018	0.0
MS003	0.0
MS013	0.0
MS019	0.0
AMPD3	0.0
ACACB	0.0
AKR1B1	0.0
AKR1A1	0.0
AHSG	0.0
AGT	0.0
AFM	0.0
ADIPOQ	0.0
ACACA	0.0
MS021	0.0
A1BG	0.0
MS029	0.0
MS028	0.0
MS027	0.0
MS024	0.0
MS023	0.0
cg14153852	0.0
